小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.8,南风,2,0,87,
22,18.5,南风,2,0,89,
23,18.3,南风,2,0,91,
00,17.9,南风,3,0,97,
01,17.9,南风,3,0,95,
02,18.0,南风,3,0,94,
03,18.0,南风,2,0,94,
04,18.0,南风,1,0,92,
05,17.9,南风,2,0,94,
06,17.8,南风,2,0,95,
07,17.8,南风,3,0,94,
08,18.2,南风,2,0,91,
09,18.5,南风,2,0,90,
10,19.4,南风,3,0,85,
11,21.0,西南风,3,0,79,
12,21.9,南风,3,0,71,
13,23.1,南风,3,0,69,
14,23.7,西南风,2,0,66,
15,25.0,西南风,2,0,57,
16,25.8,南风,3,0,61,
17,24.9,东南风,2,0,63,
18,23.6,南风,3,0,67,
19,23.2,南风,2,0,69,
20,22.6,东南风,2,0,73,
21,22.1,东南风,2,0,77,
