小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,20.5,北风,1,0,83,51
22,20.2,东北风,1,0,84,45
23,20.0,西风,1,0,87,42
00,19.5,东北风,1,0,93,40
01,19.3,南风,1,0,92,38
02,19.0,东北风,1,0,95,34
03,18.6,东风,1,0,97,32
04,18.4,北风,1,0,97,29
05,18.2,西风,1,0,97,26
06,18.1,东南风,1,0,99,24
07,18.0,南风,1,0,99,23
08,18.3,南风,1,0,97,24
09,19.4,南风,1,0,90,23
10,20.8,东南风,1,0,80,25
11,23.2,东北风,2,0,69,47
12,23.6,东南风,2,0,66,55
13,22.2,北风,2,0,75,45
14,21.7,北风,2,0,79,55
15,22.0,北风,2,0,80,84
16,22.7,东北风,2,0,74,82
17,22.8,东北风,2,0,72,73
18,21.2,北风,2,0,80,75
19,20.5,北风,2,0,86,95
20,20.2,北风,1,0,89,94
21,20.0,南风,1,0,89,93
