小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,25.0,东北风,1,0,82,52
22,25.2,东南风,1,0,82,53
23,25.0,西北风,1,0,84,50
00,25.0,东南风,1,0,80,49
01,26.1,东南风,2,0,55,42
02,25.8,东南风,2,0,50,42
03,25.3,东南风,1,0,55,42
04,24.5,东风,1,0,62,44
05,24.7,南风,1,0,61,50
06,24.2,东风,1,0,74,48
07,24.3,东风,1,0,69,49
08,25.0,东风,2,0,63,51
09,25.7,东风,2,0,59,53
10,26.5,东南风,2,0,57,53
11,26.5,东南风,2,0,61,54
12,26.9,南风,2,0,65,54
13,27.7,东南风,2,0,63,55
14,28.1,东风,2,0,62,67
15,28.2,东南风,2,0,65,60
16,28.2,东南风,2,0,65,51
17,28.0,东南风,2,0,68,50
18,27.8,东南风,2,0,67,50
19,27.5,东南风,3,0,68,42
20,27.1,东南风,2,0,72,40
21,26.7,东南风,2,0,73,
