小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,22.9,东北风,2,0,90,34
22,22.8,东北风,2,0,91,35
23,22.4,东北风,2,0,91,36
00,22.4,东北风,2,0,90,40
01,22.3,东北风,2,0,91,40
02,22.3,东北风,2,0,91,40
03,22.2,东北风,2,0,92,35
04,22.1,东北风,2,0,92,36
05,22.1,东北风,2,0,92,38
06,22.0,东北风,2,0,92,38
07,22.2,东北风,2,0,92,40
08,22.3,北风,1,0.7,92,46
09,22.5,东北风,1,0,91,46
10,23.2,东南风,1,0.1,90,50
11,23.9,东南风,2,0,88,54
12,25.3,东南风,3,0,85,60
13,26.6,东南风,3,0,80,57
14,26.6,东南风,3,0,79,51
15,27.3,东南风,3,0,77,42
16,27.1,东南风,3,0,79,40
17,26.6,南风,2,0,82,46
18,26.8,东南风,2,0,82,51
19,26.3,东风,2,0,84,56
20,25.9,西南风,1,0,88,56
21,25.3,南风,2,0,90,
